,date,repeated_hour_flag,dam,rtm
0,2022-01-01 00:00:00,N,33.41,53.94
1,2022-01-01 00:15:00,N,33.41,125.73
2,2022-01-01 00:30:00,N,33.41,42.02
3,2022-01-01 00:45:00,N,33.41,35.75
4,2022-01-01 01:00:00,N,25.22,32.87
5,2022-01-01 01:15:00,N,25.22,31.65
6,2022-01-01 01:30:00,N,25.22,33.97
7,2022-01-01 01:45:00,N,25.22,31.3
8,2022-01-01 02:00:00,N,22.91,29.91
9,2022-01-01 02:15:00,N,22.91,25.11
10,2022-01-01 02:30:00,N,22.91,23.62
11,2022-01-01 02:45:00,N,22.91,23.52
12,2022-01-01 03:00:00,N,18.41,23.39
13,2022-01-01 03:15:00,N,18.41,22.74
14,2022-01-01 03:30:00,N,18.41,22.31
15,2022-01-01 03:45:00,N,18.41,21.23
16,2022-01-01 04:00:00,N,12.19,8.58
17,2022-01-01 04:15:00,N,12.19,13.12
18,2022-01-01 04:30:00,N,12.19,20.4
19,2022-01-01 04:45:00,N,12.19,21.69
20,2022-01-01 05:00:00,N,14.92,22.15
21,2022-01-01 05:15:00,N,14.92,15.64
22,2022-01-01 05:30:00,N,14.92,2.37
23,2022-01-01 05:45:00,N,14.92,13.93
24,2022-01-01 06:00:00,N,16.0,7.52
25,2022-01-01 06:15:00,N,16.0,4.02
26,2022-01-01 06:30:00,N,16.0,14.66
27,2022-01-01 06:45:00,N,16.0,19.73
28,2022-01-01 07:00:00,N,17.0,19.69
29,2022-01-01 07:15:00,N,17.0,9.06
30,2022-01-01 07:30:00,N,17.0,1.9
31,2022-01-01 07:45:00,N,17.0,14.13
32,2022-01-01 08:00:00,N,17.39,20.59
33,2022-01-01 08:15:00,N,17.39,19.66
34,2022-01-01 08:30:00,N,17.39,0.88
35,2022-01-01 08:45:00,N,17.39,-0.04
36,2022-01-01 09:00:00,N,18.63,-0.07
37,2022-01-01 09:15:00,N,18.63,-0.07
38,2022-01-01 09:30:00,N,18.63,1.14
39,2022-01-01 09:45:00,N,18.63,4.43
40,2022-01-01 10:00:00,N,20.86,20.4
41,2022-01-01 10:15:00,N,20.86,21.38
42,2022-01-01 10:30:00,N,20.86,22.36
43,2022-01-01 10:45:00,N,20.86,22.22
44,2022-01-01 11:00:00,N,24.44,22.38
45,2022-01-01 11:15:00,N,24.44,22.34
46,2022-01-01 11:30:00,N,24.44,22.42
47,2022-01-01 11:45:00,N,24.44,23.54
48,2022-01-01 12:00:00,N,25.02,23.98
49,2022-01-01 12:15:00,N,25.02,22.92
50,2022-01-01 12:30:00,N,25.02,24.93
51,2022-01-01 12:45:00,N,25.02,26.94
52,2022-01-01 13:00:00,N,25.88,25.1
53,2022-01-01 13:15:00,N,25.88,24.67
54,2022-01-01 13:30:00,N,25.88,26.69
55,2022-01-01 13:45:00,N,25.88,27.53
56,2022-01-01 14:00:00,N,25.28,26.33
57,2022-01-01 14:15:00,N,25.28,26.2
58,2022-01-01 14:30:00,N,25.28,26.94
59,2022-01-01 14:45:00,N,25.28,26.26
60,2022-01-01 15:00:00,N,23.59,23.56
61,2022-01-01 15:15:00,N,23.59,24.12
62,2022-01-01 15:30:00,N,23.59,27.51
63,2022-01-01 15:45:00,N,23.59,22.94
64,2022-01-01 16:00:00,N,29.0,22.13
65,2022-01-01 16:15:00,N,29.0,22.15
66,2022-01-01 16:30:00,N,29.0,22.04
67,2022-01-01 16:45:00,N,29.0,19.65
68,2022-01-01 17:00:00,N,41.49,21.09
69,2022-01-01 17:15:00,N,41.49,21.9
70,2022-01-01 17:30:00,N,41.49,22.18
71,2022-01-01 17:45:00,N,41.49,22.51
72,2022-01-01 18:00:00,N,29.11,22.55
73,2022-01-01 18:15:00,N,29.11,22.19
74,2022-01-01 18:30:00,N,29.11,22.22
75,2022-01-01 18:45:00,N,29.11,22.28
76,2022-01-01 19:00:00,N,26.11,22.45
77,2022-01-01 19:15:00,N,26.11,22.32
78,2022-01-01 19:30:00,N,26.11,22.21
79,2022-01-01 19:45:00,N,26.11,22.22
80,2022-01-01 20:00:00,N,23.36,22.21
81,2022-01-01 20:15:00,N,23.36,22.22
82,2022-01-01 20:30:00,N,23.36,22.18
83,2022-01-01 20:45:00,N,23.36,22.17
84,2022-01-01 21:00:00,N,23.29,22.19
85,2022-01-01 21:15:00,N,23.29,22.15
86,2022-01-01 21:30:00,N,23.29,22.13
87,2022-01-01 21:45:00,N,23.29,21.98
88,2022-01-01 22:00:00,N,24.38,21.65
89,2022-01-01 22:15:00,N,24.38,20.2
90,2022-01-01 22:30:00,N,24.38,20.25
91,2022-01-01 22:45:00,N,24.38,18.11
92,2022-01-01 23:00:00,N,23.79,18.51
93,2022-01-01 23:15:00,N,23.79,17.93
94,2022-01-01 23:30:00,N,23.79,16.58
95,2022-01-01 23:45:00,N,23.79,16.49
96,2022-01-02 00:00:00,N,26.63,12.39
97,2022-01-02 00:15:00,N,26.63,1.87
98,2022-01-02 00:30:00,N,26.63,11.6
99,2022-01-02 00:45:00,N,26.63,1.67
100,2022-01-02 01:00:00,N,24.79,9.58
101,2022-01-02 01:15:00,N,24.79,1.36
102,2022-01-02 01:30:00,N,24.79,17.18
103,2022-01-02 01:45:00,N,24.79,4.39
104,2022-01-02 02:00:00,N,23.85,2.21
105,2022-01-02 02:15:00,N,23.85,0.73
106,2022-01-02 02:30:00,N,23.85,13.2
107,2022-01-02 02:45:00,N,23.85,14.04
108,2022-01-02 03:00:00,N,22.81,20.31
109,2022-01-02 03:15:00,N,22.81,17.56
110,2022-01-02 03:30:00,N,22.81,4.61
111,2022-01-02 03:45:00,N,22.81,3.57
112,2022-01-02 04:00:00,N,23.59,7.56
113,2022-01-02 04:15:00,N,23.59,9.03
114,2022-01-02 04:30:00,N,23.59,18.48
115,2022-01-02 04:45:00,N,23.59,20.65
116,2022-01-02 05:00:00,N,25.76,21.72
117,2022-01-02 05:15:00,N,25.76,21.8
118,2022-01-02 05:30:00,N,25.76,22.09
119,2022-01-02 05:45:00,N,25.76,22.32
120,2022-01-02 06:00:00,N,30.29,22.37
121,2022-01-02 06:15:00,N,30.29,22.56
122,2022-01-02 06:30:00,N,30.29,22.7
123,2022-01-02 06:45:00,N,30.29,22.63
124,2022-01-02 07:00:00,N,38.11,22.75
125,2022-01-02 07:15:00,N,38.11,22.83
126,2022-01-02 07:30:00,N,38.11,22.98
127,2022-01-02 07:45:00,N,38.11,23.35
128,2022-01-02 08:00:00,N,46.77,23.41
129,2022-01-02 08:15:00,N,46.77,23.55
130,2022-01-02 08:30:00,N,46.77,23.38
131,2022-01-02 08:45:00,N,46.77,23.49
132,2022-01-02 09:00:00,N,37.65,22.53
133,2022-01-02 09:15:00,N,37.65,22.86
134,2022-01-02 09:30:00,N,37.65,23.84
135,2022-01-02 09:45:00,N,37.65,23.46
136,2022-01-02 10:00:00,N,35.47,23.57
137,2022-01-02 10:15:00,N,35.47,24.25
138,2022-01-02 10:30:00,N,35.47,24.73
139,2022-01-02 10:45:00,N,35.47,27.34
140,2022-01-02 11:00:00,N,35.0,28.54
141,2022-01-02 11:15:00,N,35.0,27.07
142,2022-01-02 11:30:00,N,35.0,26.4
143,2022-01-02 11:45:00,N,35.0,25.3
144,2022-01-02 12:00:00,N,31.33,23.86
145,2022-01-02 12:15:00,N,31.33,22.71
146,2022-01-02 12:30:00,N,31.33,22.58
147,2022-01-02 12:45:00,N,31.33,22.54
148,2022-01-02 13:00:00,N,27.45,22.52
149,2022-01-02 13:15:00,N,27.45,22.5
150,2022-01-02 13:30:00,N,27.45,22.29
151,2022-01-02 13:45:00,N,27.45,21.59
152,2022-01-02 14:00:00,N,26.33,21.01
153,2022-01-02 14:15:00,N,26.33,20.48
154,2022-01-02 14:30:00,N,26.33,20.11
155,2022-01-02 14:45:00,N,26.33,19.85
156,2022-01-02 15:00:00,N,25.84,19.35
157,2022-01-02 15:15:00,N,25.84,19.27
158,2022-01-02 15:30:00,N,25.84,19.53
159,2022-01-02 15:45:00,N,25.84,20.43
160,2022-01-02 16:00:00,N,31.4,20.88
161,2022-01-02 16:15:00,N,31.4,21.49
162,2022-01-02 16:30:00,N,31.4,23.08
163,2022-01-02 16:45:00,N,31.4,24.64
164,2022-01-02 17:00:00,N,84.63,27.81
165,2022-01-02 17:15:00,N,84.63,31.17
166,2022-01-02 17:30:00,N,84.63,37.06
167,2022-01-02 17:45:00,N,84.63,44.86
168,2022-01-02 18:00:00,N,98.07,37.27
169,2022-01-02 18:15:00,N,98.07,36.91
170,2022-01-02 18:30:00,N,98.07,37.78
171,2022-01-02 18:45:00,N,98.07,39.01
172,2022-01-02 19:00:00,N,72.65,38.15
173,2022-01-02 19:15:00,N,72.65,37.92
174,2022-01-02 19:30:00,N,72.65,37.72
175,2022-01-02 19:45:00,N,72.65,38.31
176,2022-01-02 20:00:00,N,62.24,38.75
177,2022-01-02 20:15:00,N,62.24,38.54
178,2022-01-02 20:30:00,N,62.24,37.0
179,2022-01-02 20:45:00,N,62.24,36.91
180,2022-01-02 21:00:00,N,48.31,37.09
181,2022-01-02 21:15:00,N,48.31,37.43
182,2022-01-02 21:30:00,N,48.31,37.14
183,2022-01-02 21:45:00,N,48.31,36.42
184,2022-01-02 22:00:00,N,39.26,34.35
185,2022-01-02 22:15:00,N,39.26,34.44
186,2022-01-02 22:30:00,N,39.26,34.36
187,2022-01-02 22:45:00,N,39.26,34.5
188,2022-01-02 23:00:00,N,36.75,34.56
189,2022-01-02 23:15:00,N,36.75,34.39
190,2022-01-02 23:30:00,N,36.75,34.74
191,2022-01-02 23:45:00,N,36.75,35.57
192,2022-01-03 00:00:00,N,31.01,35.32
193,2022-01-03 00:15:00,N,31.01,35.42
194,2022-01-03 00:30:00,N,31.01,34.64
195,2022-01-03 00:45:00,N,31.01,34.57
196,2022-01-03 01:00:00,N,30.45,34.73
197,2022-01-03 01:15:00,N,30.45,34.94
198,2022-01-03 01:30:00,N,30.45,35.11
199,2022-01-03 01:45:00,N,30.45,34.83
200,2022-01-03 02:00:00,N,30.03,35.19
201,2022-01-03 02:15:00,N,30.03,35.83
202,2022-01-03 02:30:00,N,30.03,35.65
203,2022-01-03 02:45:00,N,30.03,36.0
204,2022-01-03 03:00:00,N,29.65,36.56
205,2022-01-03 03:15:00,N,29.65,36.36
206,2022-01-03 03:30:00,N,29.65,36.25
207,2022-01-03 03:45:00,N,29.65,36.23
208,2022-01-03 04:00:00,N,31.03,36.97
209,2022-01-03 04:15:00,N,31.03,37.2
210,2022-01-03 04:30:00,N,31.03,36.99
211,2022-01-03 04:45:00,N,31.03,37.13
212,2022-01-03 05:00:00,N,40.43,36.34
213,2022-01-03 05:15:00,N,40.43,36.7
214,2022-01-03 05:30:00,N,40.43,38.08
215,2022-01-03 05:45:00,N,40.43,38.33
216,2022-01-03 06:00:00,N,96.58,40.33
