,date,da_tb2,rt_tb2
0,2022-01-01,47.79,85.18
1,2022-01-02,136.3,61.4
2,2022-01-03,150.37,70.63
3,2022-01-04,50.67,48.06
4,2022-01-05,62.57,28.59
5,2022-01-06,77.21,59.25
6,2022-01-07,114.02,592.99
7,2022-01-08,58.55,184.5
8,2022-01-09,49.23,51.09
9,2022-01-10,97.34,92.15
10,2022-01-11,81.72,74.78
11,2022-01-12,81.71,37.32
12,2022-01-13,71.06,112.34
13,2022-01-14,61.39,38.62
14,2022-01-15,68.35,116.11
15,2022-01-16,90.21,41.59
16,2022-01-17,130.65,60.37
17,2022-01-18,52.95,68.32
18,2022-01-19,41.75,33.62
19,2022-01-20,132.35,72.53
20,2022-01-21,219.03,92.78
21,2022-01-22,128.06,48.0
22,2022-01-23,41.52,25.2
23,2022-01-24,53.84,75.96
24,2022-01-25,47.58,44.2
25,2022-01-26,67.95,346.94
26,2022-01-27,93.81,36.66
27,2022-01-28,100.45,149.34
28,2022-01-29,84.81,226.36
29,2022-01-30,77.09,49.49
30,2022-01-31,108.62,160.93
31,2022-02-01,97.44,48.92
32,2022-02-02,82.98,109.14
33,2022-02-03,211.86,99.09
34,2022-02-04,713.48,112.02
35,2022-02-05,190.43,123.32
36,2022-02-06,119.77,70.02
37,2022-02-07,99.77,69.99
38,2022-02-08,70.27,111.9
39,2022-02-09,113.76,512.22
40,2022-02-10,107.88,69.21
41,2022-02-11,59.51,38.51
42,2022-02-12,109.96,106.64
43,2022-02-13,79.33,87.9
44,2022-02-14,71.22,73.08
45,2022-02-15,43.44,42.36
46,2022-02-16,56.01,96.28
47,2022-02-17,113.37,104.65
48,2022-02-18,171.79,94.56
49,2022-02-19,85.64,52.71
50,2022-02-20,59.41,62.55
51,2022-02-21,71.42,120.57
52,2022-02-22,87.1,83.4
53,2022-02-23,118.38,1460.66
54,2022-02-24,129.75,6350.15
55,2022-02-25,299.75,50.16
56,2022-02-26,121.14,27.23
57,2022-02-27,67.18,48.26
58,2022-02-28,145.37,39.43
59,2022-03-01,132.09,87.12
60,2022-03-02,97.58,139.16
61,2022-03-03,76.81,379.28
62,2022-03-04,79.59,76.42
63,2022-03-05,170.48,171.27
64,2022-03-06,100.93,73.69
65,2022-03-07,155.0,132.98
66,2022-03-08,229.48,256.94
67,2022-03-09,378.35,294.81
68,2022-03-10,118.84,72.51
69,2022-03-11,187.48,136.32
70,2022-03-12,248.98,152.98
71,2022-03-13,97.22,46.36
72,2022-03-14,132.92,44.02
73,2022-03-15,198.02,402.75
74,2022-03-16,68.44,174.49
75,2022-03-17,55.73,102.22
76,2022-03-18,239.96,167.66
77,2022-03-19,138.66,280.64
78,2022-03-20,56.35,55.33
79,2022-03-21,119.88,159.73
80,2022-03-22,93.62,143.73
81,2022-03-23,195.25,71.56
82,2022-03-24,275.27,180.46
83,2022-03-25,192.36,82.33
84,2022-03-26,146.57,503.78
85,2022-03-27,139.3,90.05
86,2022-03-28,134.55,130.39
87,2022-03-29,106.01,117.66
88,2022-03-30,329.07,370.48
89,2022-03-31,234.77,392.87
90,2022-04-01,138.07,100.45
91,2022-04-02,167.69,170.11
92,2022-04-03,128.06,67.72
93,2022-04-04,269.83,1394.0
94,2022-04-05,345.8,136.87
95,2022-04-06,230.03,63.72
96,2022-04-07,191.81,113.66
97,2022-04-08,213.02,244.27
98,2022-04-09,92.91,134.57
99,2022-04-10,191.9,1446.29
100,2022-04-11,502.94,335.09
101,2022-04-12,130.76,59.01
102,2022-04-13,562.36,369.08
103,2022-04-14,134.1,69.88
104,2022-04-15,186.38,84.6
105,2022-04-16,196.37,102.39
106,2022-04-17,192.44,124.51
107,2022-04-18,131.63,90.99
108,2022-04-19,85.79,97.98
109,2022-04-20,311.2,379.28
110,2022-04-21,96.81,103.98
111,2022-04-22,54.98,617.27
112,2022-04-23,106.57,59.37
113,2022-04-24,139.88,70.74
114,2022-04-25,91.33,78.2
115,2022-04-26,83.34,115.88
116,2022-04-27,72.58,103.76
117,2022-04-28,89.79,123.44
118,2022-04-29,93.56,66.08
119,2022-04-30,195.49,145.47
120,2022-05-01,49.72,140.33
121,2022-05-02,126.45,500.29
122,2022-05-03,110.47,247.5
123,2022-05-04,75.19,74.01
124,2022-05-05,404.88,254.27
125,2022-05-06,728.53,103.35
126,2022-05-07,171.02,81.8
127,2022-05-08,138.11,122.8
128,2022-05-09,150.49,189.55
129,2022-05-10,99.01,183.68
130,2022-05-11,127.63,112.95
131,2022-05-12,316.21,550.62
132,2022-05-13,998.1,7192.65
133,2022-05-14,1229.39,162.53
134,2022-05-15,2197.03,167.93
135,2022-05-16,610.46,104.73
136,2022-05-17,100.37,110.2
137,2022-05-18,336.62,279.5
138,2022-05-19,115.81,118.99
139,2022-05-20,215.87,742.3
140,2022-05-21,244.81,99.97
141,2022-05-22,128.11,200.82
142,2022-05-23,39.34,49.39
143,2022-05-24,77.05,494.03
144,2022-05-25,247.1,306.32
145,2022-05-26,186.4,414.9
146,2022-05-27,278.14,268.84
147,2022-05-28,201.87,113.14
148,2022-05-29,147.26,149.36
149,2022-05-30,159.35,127.08
150,2022-05-31,175.93,84.73
151,2022-06-01,204.15,84.31
152,2022-06-02,85.39,93.18
153,2022-06-03,86.7,72.4
154,2022-06-04,78.6,73.7
155,2022-06-05,159.53,159.34
156,2022-06-06,271.97,187.51
157,2022-06-07,262.37,171.9
158,2022-06-08,182.04,163.28
159,2022-06-09,185.95,58.15
160,2022-06-10,573.02,112.06
161,2022-06-11,320.46,128.92
162,2022-06-12,185.56,131.77
163,2022-06-13,167.1,89.97
164,2022-06-14,143.56,66.29
165,2022-06-15,146.48,78.37
166,2022-06-16,125.73,81.29
167,2022-06-17,281.8,125.24
168,2022-06-18,141.85,63.45
169,2022-06-19,96.26,55.84
170,2022-06-20,96.75,187.84
171,2022-06-21,150.7,137.18
172,2022-06-22,458.26,186.58
173,2022-06-23,1047.25,158.76
174,2022-06-24,447.58,136.56
175,2022-06-25,271.04,176.57
176,2022-06-26,165.99,85.82
177,2022-06-27,141.62,152.62
178,2022-06-28,141.97,47.28
179,2022-06-29,138.86,117.17
180,2022-06-30,248.29,222.45
181,2022-07-01,203.11,150.97
182,2022-07-02,161.56,95.7
183,2022-07-03,104.11,54.61
184,2022-07-04,129.07,83.12
185,2022-07-05,143.98,230.86
186,2022-07-06,131.2,112.02
187,2022-07-07,523.36,266.33
188,2022-07-08,928.4,2338.2
189,2022-07-09,646.15,4416.49
190,2022-07-10,1110.73,1392.36
191,2022-07-11,3954.34,850.8
192,2022-07-12,518.22,1692.72
193,2022-07-13,1551.98,10492.17
194,2022-07-14,1289.42,62.35
195,2022-07-15,864.76,85.79
196,2022-07-16,632.96,181.08
197,2022-07-17,800.42,3369.66
198,2022-07-18,2818.35,2432.86
199,2022-07-19,1226.08,289.06
200,2022-07-20,1233.25,2698.71
201,2022-07-21,264.76,140.23
202,2022-07-22,349.0,53.33
203,2022-07-23,203.87,90.02
204,2022-07-24,164.27,187.79
205,2022-07-25,286.97,145.3
206,2022-07-26,287.63,193.35
207,2022-07-27,290.9,144.04
208,2022-07-28,349.3,263.77
209,2022-07-29,290.19,85.96
210,2022-07-30,211.02,92.75
211,2022-07-31,185.19,147.96
212,2022-08-01,197.79,97.76
213,2022-08-02,142.56,492.16
214,2022-08-03,251.1,662.06
215,2022-08-04,659.3,285.42
216,2022-08-05,344.52,163.79
217,2022-08-06,124.24,73.87
218,2022-08-07,169.76,215.23
219,2022-08-08,409.53,794.48
220,2022-08-09,505.54,1116.26
221,2022-08-10,764.72,88.32
222,2022-08-11,450.77,533.41
223,2022-08-12,306.57,392.9
224,2022-08-13,293.98,316.4
225,2022-08-14,213.84,116.62
226,2022-08-15,202.66,93.34
227,2022-08-16,613.13,421.19
228,2022-08-17,1450.83,768.46
229,2022-08-18,107.36,65.57
230,2022-08-19,130.36,62.64
231,2022-08-20,122.04,59.48
232,2022-08-21,88.4,140.85
233,2022-08-22,81.95,376.05
234,2022-08-23,106.1,337.98
235,2022-08-24,122.94,66.41
236,2022-08-25,248.39,392.41
237,2022-08-26,209.73,236.07
238,2022-08-27,150.13,97.19
239,2022-08-28,152.4,242.33
240,2022-08-29,193.47,80.57
241,2022-08-30,115.09,55.7
242,2022-08-31,149.3,129.31
243,2022-09-01,132.97,96.91
244,2022-09-02,177.64,84.52
245,2022-09-03,74.12,28.63
246,2022-09-04,85.05,64.38
247,2022-09-05,119.43,102.0
248,2022-09-06,175.77,867.19
249,2022-09-07,127.83,98.84
250,2022-09-08,224.89,86.5
251,2022-09-09,145.65,108.73
252,2022-09-10,124.6,62.98
253,2022-09-11,147.42,368.94
254,2022-09-12,157.24,131.18
255,2022-09-13,132.46,82.31
256,2022-09-14,87.9,58.78
257,2022-09-15,93.29,86.44
258,2022-09-16,111.55,75.67
259,2022-09-17,84.12,68.18
260,2022-09-18,146.66,119.3
261,2022-09-19,255.27,224.21
262,2022-09-20,244.64,117.08
263,2022-09-21,359.27,124.44
264,2022-09-22,480.08,94.67
265,2022-09-23,148.87,49.24
266,2022-09-24,120.03,146.45
267,2022-09-25,102.81,100.54
268,2022-09-26,124.0,184.03
269,2022-09-27,118.23,196.29
270,2022-09-28,134.33,95.16
271,2022-09-29,128.2,79.6
272,2022-09-30,57.82,60.65
273,2022-10-01,66.55,116.84
274,2022-10-02,70.12,74.74
275,2022-10-03,142.97,91.25
276,2022-10-04,137.01,114.04
277,2022-10-05,143.31,168.3
278,2022-10-06,175.57,536.84
279,2022-10-07,126.51,44.28
280,2022-10-08,84.15,76.29
281,2022-10-09,124.06,39.9
282,2022-10-10,100.12,52.5
283,2022-10-11,87.7,43.88
284,2022-10-12,522.89,1587.2
285,2022-10-13,168.88,555.3
286,2022-10-14,124.6,67.32
287,2022-10-15,171.09,666.35
288,2022-10-16,47.69,163.68
289,2022-10-17,88.93,53.64
290,2022-10-18,130.08,59.36
291,2022-10-19,140.11,91.25
292,2022-10-20,213.36,429.28
293,2022-10-21,80.43,61.48
294,2022-10-22,96.04,80.53
295,2022-10-23,78.62,68.19
296,2022-10-24,54.19,133.86
297,2022-10-25,301.39,221.38
298,2022-10-26,66.78,80.94
299,2022-10-27,75.76,86.41
300,2022-10-28,53.11,237.76
301,2022-10-29,172.92,135.18
302,2022-10-30,259.02,73.44
303,2022-10-31,124.51,63.98
304,2022-11-01,60.88,36.65
305,2022-11-02,57.99,47.44
306,2022-11-03,61.34,36.16
307,2022-11-04,68.27,290.72
308,2022-11-05,46.3,49.63
309,2022-11-06,154.51,801.22
310,2022-11-07,215.03,138.23
311,2022-11-08,144.44,25.22
312,2022-11-09,96.69,59.88
313,2022-11-10,696.08,209.77
314,2022-11-11,91.01,79.04
315,2022-11-12,131.92,66.96
316,2022-11-13,50.93,68.46
317,2022-11-14,93.03,140.09
318,2022-11-15,273.72,145.65
319,2022-11-16,191.31,396.72
320,2022-11-17,138.38,82.64
321,2022-11-18,84.04,79.3
322,2022-11-19,172.21,87.35
323,2022-11-20,75.53,139.0
324,2022-11-21,128.09,77.59
325,2022-11-22,69.09,47.51
326,2022-11-23,53.54,79.79
327,2022-11-24,46.03,206.27
328,2022-11-25,86.72,97.03
329,2022-11-26,78.16,175.92
330,2022-11-27,139.91,178.45
331,2022-11-28,91.69,82.24
332,2022-11-29,129.08,119.07
333,2022-11-30,86.3,103.13
334,2022-12-01,114.72,197.96
335,2022-12-02,46.43,316.02
336,2022-12-03,137.48,84.8
337,2022-12-04,72.92,56.51
338,2022-12-05,80.93,36.65
339,2022-12-06,99.28,97.24
340,2022-12-07,93.33,154.98
341,2022-12-08,144.88,87.65
342,2022-12-09,54.83,104.61
343,2022-12-10,53.6,94.45
344,2022-12-11,47.65,51.14
345,2022-12-12,47.1,25.83
346,2022-12-13,83.83,219.02
347,2022-12-14,86.4,106.24
348,2022-12-15,94.05,77.32
349,2022-12-16,69.64,87.4
350,2022-12-17,59.91,226.19
351,2022-12-18,75.81,66.88
352,2022-12-19,124.81,106.16
353,2022-12-20,65.95,67.92
